time,open,high,low,close,(blank),(blank),Chars,(blank),(blank),(blank),(blank),Bullish Micro Trend,Bearish Micro Trend,Alpha Track,Volume
1722556800,65337.15,65568.47,61203.75,61444.49,,0,0,0,0,0,0,0,1,63007.05203477976,22658.73305459
1722643200,61448.77,62177.32,59871.16,60715.11,,0,0,0,0,0,0,0,1,63007.05203477976,13277.83317697
1722729600,60713.38,61102.18,57188.58,58148.99,,0,0,0,0,0,0,0,1,63007.05203477976,15381.19903103
1722816000,58143.6,58294.28,49217,54051.91,,0,0,0,0,0,1,0,1,63007.05203477976,85226.13598218
1722902400,54067.33,57103.17,54015.79,56092.02,,0,0,0,0,0,0,0,1,63007.05203477976,24982.33735995
1722988800,56079.52,57761.99,54586.91,55138.53,,0,0,0,0,0,0,0,1,62962.35927207657,21588.76977432
1723075200,55152.31,62738.56,54773.16,61727.57,,0,0,1,0,0,0,0,0,62954.58546521973,29584.71329752
1723161600,61727.49,61761.4,59581.59,60881.01,,0,0,0,0,0,0,0,0,62946.55183587039,17719.80842763
1723248000,60873.15,61488.9,60287.98,60964.18,,0,0,0,0,0,0,0,0,62946.55183587039,5094.0007452
1723334400,60961.45,61863.17,58346.88,58745.55,,0,1,0,0,0,0,0,1,62946.55183587039,8759.09290642
1723420800,58742.29,60711.04,57686.08,59380.17,,0,0,0,0,0,0,0,0,62946.55183587039,18112.18280427
1723507200,59379.82,61601.36,58456.3,60622.3,,0,0,0,0,0,0,0,0,62946.55183587039,16972.41486258
1723593600,60619.07,61826.9,58491.89,58714.56,,0,0,0,0,0,0,0,1,62946.55183587039,19102.15845146
1723680000,58710.83,59882.22,56148.93,57562.38,,0,1,0,0,0,0,0,1,62946.55183587039,21136.80004387
1723766400,57562.14,59854.4,57118.12,58916.6,,0,0,0,0,0,0,0,0,62946.55183587039,16983.20624243
1723852800,58918.4,59724.3,58848.46,59511.7,,0,0,0,0,0,0,0,0,62946.55183587039,4289.0939481
1723939200,59512.72,60275.85,58455.15,58469.35,,0,0,0,0,0,0,0,0,62946.55183587039,7017.75506121
1724025600,58468.93,59640.95,57865.2,59507.84,,0,0,0,0,0,0,0,0,62946.55183587039,12193.58636438
1724112000,59497.38,61436.23,58603.91,59056.22,,0,0,0,0,0,0,0,0,62946.55183587039,16837.3898188
1724198400,59056.22,61846.5,58852.72,61188.5,,0,0,0,0,0,0,0,0,62946.55183587039,19023.30743196
1724284800,61192.34,61432.55,59792.93,60410.1,,0,0,0,0,0,0,0,0,62946.55183587039,13475.44771895
1724371200,60410.1,64999.98,60385.55,64102.53,,0,0,0,0,0,0,1,0,62946.55183587039,25227.82323835
1724457600,64103.53,64531.5,63616.56,64189.91,,0,0,0,0,0,0,1,0,62946.55183587039,7399.43337695
1724544000,64191.93,65105.95,63838.56,64290.76,,0,0,0,0,0,0,1,0,62946.55183587039,5880.61406389
1724630400,64287.03,64511.47,62854.45,62878.18,,0,0,0,1,0,0,1,0,62946.55183587039,13733.02184727
1724716800,62869.8,63242.32,58081.27,59467.41,,0,0,0,0,0,0,0,1,62946.55183587039,20208.18777112
1724803200,59467.17,60248.8,57918.36,59065.12,,0,0,0,0,0,0,0,1,62946.55183587039,15523.88296725
1724889600,59065.64,61202.3,58758.2,59406.74,,0,0,0,0,0,0,0,1,62946.55183587039,15912.98324492
1724976000,59403.41,59958.91,57763,59157.69,,0,0,0,0,0,0,0,1,62946.55183587039,14844.38890197
1725062400,59160.15,59485.75,58789.55,59015.67,,0,0,0,0,0,0,0,1,62946.55183587039,3478.29889397
1725148800,59015.67,59098.31,57237,57349.8,,0,0,0,0,0,0,0,1,62922.24177924879,9082.55189575
1725235200,57335.93,59452.5,57170.8,59177.36,,0,0,0,0,0,0,0,0,62883.62074285522,8577.80725205
1725321600,59173.9,59844.43,57452.97,57534.86,,0,0,0,0,0,0,0,1,62752.34211120961,12158.86818122
1725408000,57526.73,58547.31,55696.18,58003.25,,0,0,0,0,0,0,0,1,62516.10939662207,20195.63615968
1725494400,58007.03,58344.51,55663.64,56200.43,,0,0,0,0,0,0,0,1,61814.36724144184,17967.94718827
1725580800,56204.18,57016.53,52600.25,53997.33,,0,0,0,0,0,0,0,1,60945.807547948294,27608.8422063
1725667200,53993.58,54895.05,53783.53,54189.68,,0,0,1,0,0,1,0,1,60195.126709287375,6647.21479869
1725753600,54189.53,55346.89,53661.89,54903.73,,0,0,0,0,0,0,0,1,59607.19374158877,6963.06960352
1725840000,54908.25,58105.19,54620.72,57071.4,,0,0,0,0,0,0,0,0,59325.438881412236,16593.07144814
1725926400,57071.88,58057.09,56428.24,57673.15,,0,0,0,0,0,0,0,0,59141.85122792199,9817.88716253
1726012800,57669.04,58027.09,55592.13,57374.1,,0,0,0,0,0,0,0,0,58945.43442481954,17997.06804704
1726099200,57375.41,58589.6,57358.54,58174.16,,0,0,0,0,0,0,0,0,58859.73726650625,14763.67388731
1726185600,58174.43,60681.85,57671.83,60578.59,,0,0,0,0,0,0,1,0,59033.39530116613,18715.88636849
1726272000,60578.36,60669.5,59504.77,60040.86,,0,0,0,0,0,0,1,0,59112.27458510148,5233.78449168
1726358400,60040.88,60416.34,58735.21,59170.86,,0,0,0,0,0,0,0,0,59114.25274700424,7098.47180236
1726444800,59166.2,59233.96,57526.43,58239.99,,0,0,0,0,0,0,0,0,59114.25274700424,11366.06196343
1726531200,58239.27,61335.35,57660.04,60345.2,,0,0,0,0,0,0,1,0,59114.25274700424,17863.98206135
1726617600,60346.87,61809.93,59205.28,61789.22,,0,0,0,0,0,0,1,0,59114.25274700424,18081.6652026
1726704000,61791.52,63890.96,61613.59,62963.56,,0,0,0,0,0,0,1,0,59114.25274700424,21601.92532729
1726790400,62969.56,64137.17,62375.33,63209.22,,0,0,0,0,0,0,1,0,59144.95815837876,13571.5729489
1726876800,63203.81,63575.78,62780.25,63379.46,,0,0,0,0,0,0,1,0,59254.68417663885,4515.33010982
1726963200,63379.71,64020.75,62422.04,63604.72,,0,0,0,0,0,0,1,0,59527.73857497028,6638.50800535
1727049600,63608.9,64772.24,62620.32,63363.07,,0,0,0,0,0,0,1,0,59953.88651108469,11277.55011788
1727136000,63371.81,64708.25,62749.64,64296.43,,0,0,0,0,0,0,1,0,60436.391343186384,12812.0413552
1727222400,64305.46,64816,62967.05,63170.27,,0,0,0,0,0,0,1,0,60740.15563838789,8958.62257818
1727308800,63163.58,65842.23,62701.57,65210.68,,0,0,0,0,0,0,1,0,61236.880567455904,17786.39211416
1727395200,65208.67,66524.45,64874.01,65821.73,,0,0,0,0,0,0,1,0,61746.308282183025,13038.92224214
1727481600,65828.33,66287.52,65471.43,65906.85,,0,0,0,0,0,0,1,0,62208.5906952738,3852.15020968
