time,open,high,low,close,Reistance Level,Support Level,Volume
1599609600,10126.9275,10349.595,9984.3225,10230.265,12123.25,3880.5875,20358.5614962
1599696000,10224.53,10493.5,10221.5525,10346.9775,12123.25,3880.5875,26785.65618013
1599782400,10353.27,10412.255,10204.6,10397.115,12123.25,3880.5875,16659.28704485
1599868800,10398.9425,10480.1625,10277.7975,10446.5425,12123.25,3880.5875,11907.64338113
1599955200,10447.61,10579.535,10215.5675,10335.125,12123.25,3880.5875,18176.61041869
1600041600,10336.025,10757.6625,10252.8975,10678.515,12123.25,3880.5875,26686.53652668
1600128000,10676.8725,10940.065,10616.0875,10785.185,12123.25,3880.5875,24970.59978599
1600214400,10785.71,11099.7125,10665.705,10955.3775,12123.25,3880.5875,24750.75576008
1600300800,10953.6575,11047.5,10742.97,10944.9075,12123.25,3880.5875,19229.84995583
1600387200,10946.64,11039.885,10816.3425,10935.2675,12123.25,3880.5875,16539.23203264
1600473600,10937.1075,11180.7775,10894.34,11081.2575,12123.25,3880.5875,10420.87803324
1600560000,11079.2625,11081.435,10762.7825,10921.11,12123.25,3880.5875,12168.15099955
1600646400,10920.915,10993.4575,10264.16,10415.95,12123.25,3880.5875,33169.2052006
1600732800,10418.82,10575.6275,10357.85,10535.13,12123.25,3880.5875,17072.90484582
1600819200,10532.25,10540.36,10136.78,10234.5225,12123.25,3880.5875,20680.67738635
1600905600,10236.13,10793.0075,10193.29,10749.985,12123.25,3880.5875,23035.06027078
1600992000,10743.3475,10763.1775,10555.5225,10691.8375,12123.25,3880.5875,21458.87198455
1601078400,10692.9925,10830.5425,10658.6975,10731.0575,12123.25,3880.5875,8218.40062102
1601164800,10731.4225,10803.1125,10597.205,10777.975,12123.25,3880.5875,8357.66881709
1601251200,10779.07,10952.065,10630.8075,10694.3675,12123.25,3880.5875,18641.70642574
1601337600,10689.7125,10863.9625,10638.9925,10841.27,12123.25,3880.5875,16080.8519434
1601424000,10843.19,10847.07,10663.015,10779.1975,12123.25,3880.5875,14193.74134728
1601510400,10781.775,10933.495,10440.445,10621.26,12123.25,3880.5875,29300.1208334
1601596800,10616.7775,10664.1625,10376.45,10575.665,12123.25,3880.5875,23839.69887288
1601683200,10573.93,10605.415,10501.665,10553.77,12123.25,3880.5875,6016.92297802
1601769600,10550.8125,10695.945,10527.1,10673.18,12123.25,3880.5875,6414.60729253
1601856000,10671.41,10801.43,10624.7075,10796.145,12123.25,3880.5875,13137.0969445
1601942400,10798.5575,10801.7125,10526.6975,10605.925,12123.25,3880.5875,17202.78920446
1602028800,10604.4575,10682.2775,10550.5225,10670.07,12123.25,3880.5875,15580.20691903
1602115200,10670.0825,10962.8675,10536.7925,10930.3575,12123.25,3880.5875,23869.78473022
1602201600,10930.75,11114.615,10834.735,11056.8425,12123.25,3880.5875,20500.09047655
1602288000,11059.6125,11496.96,11059.0725,11302.1025,12123.25,3880.5875,17647.72991862
1602374400,11301.5225,11446.105,11274.05,11375.2725,12123.25,3880.5875,10166.85720374
1602460800,11375.1175,11730.81,11188.1575,11535.7025,12123.25,3880.5875,24842.88675708
1602547200,11536.2125,11563.475,11314.36,11428.785,12123.25,3880.5875,18547.78095305
1602633600,11431.935,11555.2025,11294.5625,11429.41,12123.25,3880.5875,15022.48107236
1602720000,11431.4725,11628.465,11256.1525,11506.8975,12123.25,3880.5875,17999.87617846
1602806400,11508.1575,11550.1225,11203.2725,11325.495,12123.25,3880.5875,18801.35077914
1602892800,11329.3775,11414.77,11262.6325,11367.0225,12123.25,3880.5875,6473.19490592
1602979200,11366.2075,11522.5275,11353.61,11513.1325,12123.25,3880.5875,6876.23371457
1603065600,11513.305,11836.43,11415.9425,11760.85,12123.25,3880.5875,21831.51427728
