time,open,high,low,close,Volume,Histogram
1642118400,42530,43469.64,41798.03,43092.97,18146.28095722,9.816447078441563
1642204800,43062.33,43771.04,42538.93,43111.45,8476.35098625,25.79213203680068
1642291200,43099.11,43489.16,42644.59,43108.81,8647.30536841,-0.058063579619670236
1642377600,43077.48,43173.41,41589.09,42244.92,14120.21459371,-19.00020674153349
1642464000,42256.15,42681.19,41300.16,42376.79,17640.43599346,2.900319789563568
1642550400,42385.36,42582.33,41146.63,41690.96,19808.5052573,-15.083994246427153
1642636800,41706.74,43489.52,40559.86,40675.73,23773.83434381,-36.47982170002995
1642723200,40760.06,41121.02,35509.5,36462.45,66189.41576359,7.683056089668136
1642809600,36486.55,36798.75,34115.29,35064.16,40291.48420124,-1.4794172154658511
1642896000,35141.41,36490.55,34618.08,36292.06,22611.90917086,13.356512343246509
1642982400,36172.62,37648.12,32992.55,36706.69,53228.39622815,11.915046403046933
1643068800,36616.82,37521.84,35754.82,36974.02,27772.41444652,3.470891674885273
1643155200,36974.81,38781.63,36282.66,36838.86,37118.8470959,-1.2876096625978448
1643241600,36879.06,37245.35,35526.14,37180.02,31522.36450879,3.2500807375842413
1643328000,37181.8,38016.6,36159.46,37747.68,28157.56677578,5.407846264207713
1643414400,37756.65,38714.12,37309.76,38180.95,16414.97901598,4.127572051744423
1643500800,38116.16,38358.67,37403.17,37929.9,12665.08046217,11.313846621125663
1643587200,37913.28,38779.34,36651.03,38498.99,25428.02055863,34.376261020876456
1643673600,38497.02,39288.75,38035.6,38723.35,23152.36087529,-4.097724061952249
1643760000,38739.08,38883.73,36606.38,36914.92,19266.56518683,-28.722562815666606
1643846400,36921.39,37390.62,36266.35,37322.6,17626.2887399,-14.552368175741663
1643932800,37325.51,41780.8,37059.76,41595.79,32944.05516265,49.29699613673891
1644019200,41609.07,41969,40946.39,41418.02,16085.65248106,-5.593837667411933
1644105600,41422.08,42701.89,41128.25,42417.63,9631.41523643,4.206923413929843
1644192000,42419.63,44532.39,41688.55,43869.2,28697.7895197,-3.678199075155902
1644278400,43879.07,45515.27,42905.98,44133.22,25712.19177216,-6.919757879226964
1644364800,44089.95,44853.82,43170.46,44420.56,18471.33520218,3.1067411113945838
1644451200,44416.64,45866.71,43219.87,43528.61,30002.0278194,-12.518210401710434
1644537600,43533.39,43976.66,41991.63,42397.41,26460.79461816,-11.782891474902996
1644624000,42394.52,43042.28,41755.81,42242.26,11865.11481027,-1.6160852301372088
1644710400,42239.14,42773.05,41887.56,42073.76,8224.27589122,-5.314419105479182
1644796800,42074.56,42863.26,41575.24,42550.24,18983.30135096,-24.335852001212636
1644883200,42560.06,44776.3,42457.81,44573.39,19190.29503422,40.10944308818946
1644969600,44574.41,44579.93,43309.36,43888.51,13420.1093795,-18.801993176360256
1645056000,43894.58,44191.7,40091.38,40546.12,26319.71462027,-46.03007127201552
1645142400,40538.77,40977.97,39436.35,39993.25,22845.10965423,0.7866435702657304
1645228800,39996.5,40462.57,39644.95,40104.1,8195.20540155,1.7238537189208465
1645315200,40101.21,40144.23,37994.3,38386.55,15774.25300907,-4.600640943782735
1645401600,38391.53,39495.65,36810.66,37032.64,30801.97898482,-2.9969731682922216
1645488000,37026.12,38450.5,36363.75,38259.84,29907.5124529,19.752106962872624
1645574400,38260.84,39282.1,37072.25,37261.73,21834.02780447,-11.864535723413152
1645660800,37262.01,39729.11,34329.29,38353.01,62862.04321931,27.841227639777365
1645747200,38351.44,39719.14,38027.76,39232.14,27917.25315712,9.314178650082646
1645833600,39237.21,40308.98,38599.38,39133.73,12195.57672184,0.8849685895479027
1645920000,39139.87,39879.78,37017.28,37711.29,20770.21304737,2.1525747362238974
1646006400,37712.31,44236.02,37460.14,43188.92,38771.81698468,38.56317769104487
1646092800,43201.82,44977.36,42852.58,44438.27,35596.20391359,5.506787078554069
1646179200,44439.96,45352.71,43352.22,43926.92,25852.9618935,-7.871393790682376
1646265600,43925.65,44109.19,41822.22,42466.71,27213.34511279,-13.246433502488344
1646352000,42467.35,42519.83,38585.79,39161.89,36437.83339015,-29.979988061781178
1646438400,39160.35,39616.73,38601.54,39406.8,11329.22401519,2.2217242924609906
1646524800,39401.93,39701.48,38100.06,38423,14492.2891595,-29.196716602388037
1646611200,38412.97,39552.59,37166.86,38008.62,27026.3565137,-4.9713092186005685
1646697600,38000.69,39376.12,37869.55,38752.44,25950.65020428,8.923594823542393
1646784000,38753.58,42592.68,38670.18,41964.16,33695.84768598,37.78810500702335
1646870400,41952.6,42048.38,38562.48,39438.05,29498.76946813,-30.85947091627627
1646956800,39433.9,40240.74,38246.21,38735.35,22550.06523716,-8.584325390765827
1647043200,38734.32,39474.46,38668.21,38809.19,8502.9989639,4.495763786106497
1647129600,38803.72,39309.96,37592.35,37790.82,11556.33231736,-12.156926411428664
1647216000,37785.75,39909.2,37572.55,39673.63,19398.58080976,34.700929997677726
1647302400,39679.69,39908.84,38139.39,39311.59,19981.88854547,-6.672539818866099
1647388800,39307.23,41705.33,38846.01,41134.5,37852.35075474,33.59694940119657
1647475200,41133.7,41480.98,40512.98,40951.81,20609.52625561,-5.8109751185992025
1647561600,40950.66,42369.16,40139.42,41782.51,22884.99284746,16.547380247125176
1647648000,41779.98,42403.4,41543.49,42228.16,11303.66574637,12.510907727487961
1647734400,42229.39,42319.17,40932.14,41277.41,10979.93121986,-19.680801515261294
1647820800,41291.68,41576.99,40516.26,41027.61,15415.6733293,-5.170932651603806
1647907200,41017.81,43372.45,40899.99,42382.59,27239.4785142,11.412407153403407
1647993600,42380.32,43037.8,41783.5,42910.55,18804.62224258,9.10291556750991
1648080000,42906.53,44244.48,42629.48,44008.86,27841.21168141,4.104527848503224
1648166400,44009.1,45124.29,43605.88,44325.51,25527.14462736,-8.863508806540153
1648252800,44331.57,44810.23,44106.48,44542.83,9190.23220864,1.0584146034125865
1648339200,44545.73,46953.03,44448.72,46856.67,14613.91164359,10.25026848001005
1648425600,46852.57,48222.96,46675.45,47140.78,26130.54942213,-12.627839004888983
1648512000,47146.63,48128.85,46859.19,47454.07,20193.63054315,4.065164078010071
1648598400,47450.46,47715.01,46558.45,47069.52,16722.44621691,-4.989814057897718
1648684800,47081.31,47620.79,45228.06,45526.92,21998.27310173,-21.849492544524736
1648771200,45520.97,46732.31,44245.62,46308.14,25195.36936661,7.080486634751409
1648857600,46305.9,47211.05,45655.74,45821.46,11024.29389123,-13.198192734630922
1648944000,45821.98,47455.7,45562.3,46415.99,11528.99648725,3.7972754423225297
1649030400,46420.72,46891.44,45132.91,46602.28,18336.78982081,-0.2338896876257195
