time,open,high,low,close,TD8,TD8,TD9,TD9,Small Bull Arrow,Small Bear Arrow,Big Bull Arrow,Big Bear Arrow,Over-Bought,Over-Sold,Caution,Danger
1470268800,569.729,593.76725,561.96925,582.82825,,,,,0,0,0,0,696.2903150801214,552.7881791215153,0,0
1470355200,583.33,585.12,567.9495,576.635,,,,,0,0,0,0,697.2373399631691,546.340931190811,0,0
1470441600,576.755,593.0995,569.769,590.4845,,,,,0,0,0,0,694.4425622830478,540.7672221378043,1,0
1470528000,590.4795,600.992,580.7775,594.2525,,,,,0,0,0,0,690.3552162639322,537.0861767037483,,1
1470614400,594.3775,596.582,587.06,592.56775,,,,,0,0,0,0,686.835819650301,534.4866630575555,,
1470700800,592.58525,593.4625,582.86,585.5175,,,,,0,0,0,0,682.8616576782861,531.8680032577826,,
1470787200,585.6045,601.7725,582.3425,592.63275,,,,,0,0,0,0,678.9657921963807,529.6387088953684,,
1470873600,592.915,598.735,586.4575,587.285,,,,,0,0,0,0,674.587587298286,527.8050860490532,,
1470960000,587.9625,590.67325,582.6825,587.7,,,,,0,0,0,0,671.0719394193783,526.077273349331,,
1471046400,587.5445,589.82,583.33775,585.4425,,,,,0,0,0,0,665.9176600798096,524.9330018893801,,
1471132800,585.2025,585.495,562.2075,571.5025,,,,,0,0,0,0,660.5173296931786,522.5566859298881,,
1471219200,571.4975,574.2725,559.56475,567.01,,,,,0,0,0,0,655.5217488014509,520.2525289224111,,
1471305600,567.12,583.11575,564.8845,577.8325,,,,,0,0,0,0,649.0146682849474,519.3002972239149,,
1471392000,578.18525,580.13025,569.09775,573.3675,,,,,0,0,0,0,641.7271370788269,519.9577281871958,,
1471478400,573.46725,577.235,571.40025,573.805,,,,,0,0,0,0,633.4014526894741,521.9167985079249,,
1471564800,573.1075,576.70675,566.8,573.295,,,,,0,0,0,0,623.3185393479798,525.2849318260658,,
1471651200,573.3275,582.2875,571.6575,580.5275,,,,,0,0,0,0,610.7461081389478,526.3386761238335,,
1471737600,580.24025,583.7725,578.01975,580.055,,,,,0,0,0,0,603.8922931786285,526.7376843470723,,
1471824000,580.01,588.46575,577.855,584.98,,,,,0,0,0,0,600.1457580687938,549.5400046024531,,
1471910400,585.23,586.925,578.5575,581.9975,,,,,0,0,0,0,599.8883063580882,561.487489734541,,
1471996800,582.3775,583.62075,577.01,579.34975,,,,,0,0,0,0,599.3005616897465,562.9407575634319,,
1472083200,579.1425,579.80925,570.07,576.05,,,,,0,0,0,0,599.2887497206804,563.1670730573982,,
1472169600,576.0925,580.4555,574.426,578.9,,,,,0,0,0,0,598.6868943010741,563.5383256884332,,
1472256000,578.6825,579.30875,566.51025,569.7975,,,,,0,0,0,0,596.7630390842958,562.6425868310614,,
1472342400,569.58,575.67625,568.6835,574.41075,,,,,0,0,0,0,595.5002097909075,562.377617394968,,
1472428800,575.1475,577.6825,570.50525,573.388,,,,,0,0,0,0,594.4843660441726,562.1679180539942,,
1472515200,572.713,578.5975,571.9615,576.7675,,,,,0,0,0,0,591.4638241514587,562.11905226015,,
1472601600,576.33,576.955,569.8875,573.8025,,,,,0,0,0,0,588.5996465665759,562.4207263807776,,
1472688000,573.805,574.63,568.48625,571.9525,,,,,0,0,0,0,587.4016950514535,562.4563687138552,,
1472774400,571.9325,576.655,568.329,575.325,,,,,0,0,0,0,586.0833016513335,562.7889959908285,,
1472860800,575.26325,603.02375,572.43525,599.23,,,,,0,0,1,0,590.4571899423478,563.8129785094908,0,0
