time,open,high,low,close,Volume,RSI,RSI Line 2,RSI Line 3,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label
1592092800,9476.19,9479.8725,9237.5025,9329.6975,11518.80229412,48.112914317376784,49.502382480676886,50.67341226860137,48.112914317376784,,48.112914317376784,,,,,
1592179200,9330.565,9501.075,8900.6275,9430.55,43706.72426614,49.90872185856879,49.705552169622834,50.1894822191121,,,,,,,,
1592265600,9431.735,9591.99,9382.5925,9527.8625,24442.49847668,51.6476620122997,50.67660709096127,50.43304465503668,,,,,51.6476620122997,,51.6476620122997,
1592352000,9529.1525,9560.9925,9231.4375,9456.335,21611.64674661,50.26635871626601,50.47148290361364,50.452263779325165,,,,,,,,
1592438400,9456.9225,9480.5875,9264.2625,9376.185,14891.44007525,48.6947806485592,49.58313177608642,50.01769777770579,,,,,,,,
1592524800,9374.175,9432.22,9226.7625,9301.5275,19269.36278104,47.214022486027545,48.39857713105698,49.20813745438139,47.214022486027545,,47.214022486027545,,,,,
1592611200,9298.1125,9395.745,9157.9375,9357.655,12822.78851292,48.482387883304845,48.44048250718092,48.82430998078115,,,,,48.482387883304845,,48.482387883304845,
1592697600,9357.0375,9419.1375,9275.3025,9285.9675,6946.12762526,46.931284732278634,47.68588361972978,48.255096800255465,46.931284732278634,,46.931284732278634,,,,,
1592784000,9287.1825,9789.2375,9270.7025,9688.89,25202.57466056,55.54083968582473,51.61336165277726,49.934229226516365,,,,,55.54083968582473,,55.54083968582473,
1592870400,9691.105,9723.8025,9574.8225,9622.5125,18117.02207707,53.98696811300164,52.80016488288945,51.367197054702906,,,,,,,,
1592956800,9622.08,9665.435,9196.96,9287.6075,31975.41444447,46.863053766762036,49.83160932482574,50.599403189764324,,,,,,,,
1593043200,9286.41,9337.93,8985.61,9238.85,30815.5058366,45.91316776001374,47.87238854241974,49.23589586609204,,,,,,,,
1593129600,9239.4675,9289.185,9027.6,9154.7425,25784.76376757,44.24705920575552,46.05972387408763,47.64780987008983,,,,,,,,
1593216000,9156.2025,9186.245,8820.86,9004.28,18333.15396093,41.35583940677323,43.707781640430426,45.67779575526013,41.35583940677323,,41.35583940677323,,,,,
1593302400,9005.5575,9190.005,8933.915,9116.235,11912.99646425,44.27365066101761,43.99071615072402,44.83425595299207,,,,,,,,
1593388800,9116.4575,9236.1375,9015.0975,9186.5725,19281.9524167,46.08850556235552,45.03961085653977,44.936933404765924,,,,,46.08850556235552,,46.08850556235552,
1593475200,9189.4375,9201.74,9060.67,9134.015,13505.79302831,44.911518975620844,44.9755649160803,44.95624916042311,44.911518975620844,,44.911518975620844,,,,,
1593561600,9135.67,9298.875,9080.5,9236.385,17739.45767174,47.712434413999254,46.343999665039775,45.650124412731444,,,,,47.712434413999254,,47.712434413999254,
1593648000,9236.2825,9267.49,8938.15,9093.3025,24568.43996121,44.32053696667491,45.33226831585734,45.491196364294396,,,,,,,,
1593734400,9092.415,9137.155,9037.0275,9064.355,13948.02067359,43.644531513334755,44.488399914596044,44.98979813944522,43.644531513334755,,43.644531513334755,,,,,
